Holding,Symbol,Weighting
Nestle SA,NESN,2.853%
Roche Holding AG,ROG,2.0652%
Novartis AG,NOVN,2.0471%
HSBC Holdings PLC,HSBA,1.4126%
Total SA,FP,1.341%
SAP SE,SAP,1.3211%
AstraZeneca PLC,AZN,1.1849%
BP PLC,BP,1.1838%
ASML Holding NV,ASML,1.1572%
Royal Dutch Shell PLC,RDSA,1.1242%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.1221%
GlaxoSmithKline PLC,GSK,1.0478%
Sanofi SA,SAN,1.0406%
Linde PLC,LIN,1.0302%
Royal Dutch Shell PLC,RDSB,1.0091%
Siemens AG,SIE,0.9455%
British American Tobacco PLC,BATS,0.9451%
Allianz SE,ALV,0.9142%
Diageo PLC,DGE,0.8879%
Novo Nordisk A/S,NOVO.B,0.8818%
Airbus SE,AIR,0.7751%
Unilever NV,UNA,0.7296%
Bayer AG,BAYN,0.7003%
L'Oreal SA,OR,0.6304%
Anheuser Busch Inbev NV,ABI,0.622%
BNP Paribas SA,BNP,0.6143%
BASF SE,BAS,0.6134%
Air Liquide SA,AI,0.5932%
Unilever PLC,ULVR,0.5882%
Rio Tinto PLC,RIO,0.5711%
Enel SpA,ENEL,0.5695%
Adidas AG,ADS,0.5647%
Zurich Insurance Group AG,ZURN,0.5616%
Vinci SA,DG,0.5579%
Reckitt Benckiser Group PLC,RB.,0.5315%
Iberdrola SA,IBE,0.5268%
AXA SA,CS,0.5217%
Lloyds Banking Group PLC,LLOY,0.5179%
Schneider Electric SE,SU,0.5074%
Safran SA,SAF,0.5006%
Deutsche Telekom AG,DTE,0.4783%
Danone SA,BN,0.4719%
Vodafone Group PLC,VOD,0.4699%
Relx PLC,REL,0.4557%
BHP Group PLC,BHP,0.455%
Prudential PLC,PRU,0.4526%
Kering SA,KER,0.452%
ING Groep NV,INGA,0.4366%
UBS Group AG,UBSG,0.4252%
Daimler AG,DAI,0.4198%
EssilorLuxottica SA,EL,0.4148%
Koninklijke Philips NV,PHIA,0.3999%
Abb Ltd,ABBN,0.3933%
National Grid PLC,NG.,0.3905%
Intesa Sanpaolo SpA,ISP,0.3862%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.3798%
Compagnie Financiere Richemont SA,CFR,0.3739%
Eni SpA,ENI,0.3652%
Industria de Diseno Textil SA,ITX,0.3606%
Compass Group PLC,CPG,0.3598%
Barclays PLC,BARC,0.3538%
Banco Bilbao Vizcaya Argentaria SA,BBVA,0.3418%
Deutsche Post AG,DPW,0.3358%
Pernod Ricard SA,RI,0.3294%
Volkswagen AG,VOW3,0.3221%
Amadeus IT Group SA,AMS,0.3199%
Anglo American PLC,AAL,0.3086%
Glencore PLC,GLEN,0.3077%
Credit Suisse Group AG,CSGN,0.3034%
UniCredit SpA,UCG,0.302%
Swiss Re AG,SREN,0.2996%
Tesco PLC,TSCO,0.2944%
Telefonica SA,TEF,0.2908%
Prosus NV,PRX,0.2895%
London Stock Exchange Group PLC,LSE,0.2839%
Engie SA,ENGI,0.2807%
CRH PLC,CRG,0.2792%
Societe Generale SA,GLE,0.2755%
Deutsche Boerse AG,DB1,0.2736%
Infineon Technologies AG,IFX,0.2731%
Orange SA,ORA,0.2724%
Experian PLC,EXPN,0.2701%
Alcon AG,ALC,0.255%
Volvo AB,VOLV.B,0.255%
LafargeHolcim Ltd,LHN,0.2535%
Vonovia SE,VNA,0.2524%
Koninklijke Ahold Delhaize NV,AD,0.2503%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.249%
Lonza Group AG,LONN,0.2476%
Bayerische Motoren Werke AG,BMW,0.2432%
Kone Oyj,KNEBV,0.2426%
Assicurazioni Generali SpA,G,0.2389%
Hermes International SCA,RMS,0.2379%
Atlas Copco AB,ATCO.A,0.2369%
Heineken NV,HEIA,0.2366%
Nordea Bank Abp,NDA.SE,0.2363%
Vivendi SA,VIV,0.2296%
Investor AB,INVE.B,0.2289%
Givaudan SA,GIVN,0.228%
Legal & General Group PLC,LGEN,0.2213%
Standard Chartered PLC,STAN,0.2195%
Koninklijke DSM NV,DSM,0.2169%
Dassault Systemes SE,DSY,0.2155%
Repsol SA,REP,0.215%
Assa Abloy AB,ASSA.B,0.2129%
E.ON SE,EOAN,0.2115%
DSV Panalpina A/S,DSV,0.2111%
Equinor ASA,EQNR,0.209%
Sika AG,SIKA,0.2084%
Fresenius SE & Co KGaA,FRE,0.2084%
Nokia Oyj,NOKIA,0.2073%
BT Group PLC,BT.A,0.2066%
BAE Systems PLC,BA.,0.204%
Compagnie Generale des Etablissements Michelin SCA,ML,0.203%
Ferrari NV,RACE,0.2015%
Imperial Brands PLC,IMB,0.2011%
Sampo plc,SAMPO,0.2001%
Compagnie de Saint Gobain SA,SGO,0.1997%
Legrand SA,LR,0.1981%
Sandvik AB,SAND,0.1975%
Aviva PLC,AV.,0.196%
Ferguson PLC,FERG,0.1954%
Smith & Nephew PLC,SN.,0.195%
Geberit AG,GEBN,0.1948%
WFD Unibail Rodamco NV,URW,0.1915%
Essity AB (publ),ESSITY.B,0.1907%
Capgemini SE,CAP,0.1851%
Adyen NV,ADYEN,0.1819%
Akzo Nobel NV,AKZA,0.1801%
KBC Groep NV,KBC,0.1785%
Wolters Kluwer NV,WKL,0.1755%
Vestas Wind Systems A/S,VWS,0.1749%
Kerry Group PLC,KRZ,0.1747%
SSE PLC,SSE,0.1743%
Credit Agricole SA,ACA,0.1678%
Henkel AG & Co KGaA,HEN3,0.1673%
STMicroelectronics NV,STM,0.1667%
UPM-Kymmene Oyj,UPM,0.1634%
Deutsche Bank AG,DBK,0.1634%
WPP PLC,WPP,0.163%
RWE AG,RWE,0.1612%
Swiss Life Holding AG,SLHN,0.1571%
Partners Group Holding AG,PGHN,0.1562%
Dnb ASA,DNB,0.1562%
Rolls-Royce Holdings PLC,RR.,0.1542%
Cash Component,CASH,0.1535%
Svenska Handelsbanken AB,SHB.A,0.1502%
Orsted A/S,ORSTED,0.1501%
Merck KGaA,MRK,0.1476%
Fiat Chrysler Automobiles NV,FCA,0.1463%
H & M Hennes & Mauritz AB,HM.B,0.1458%
Chocoladefabriken Lindt & Spruengli AG,LISP,0.1455%
Hexagon AB,HEXA.B,0.1442%
Carlsberg A/S,CARL.B,0.1441%
Skandinaviska Enskilda Banken AB,SEB.A,0.1414%
MTU Aero Engines AG,MTX,0.1408%
Fresenius Medical Care AG & Co KGaA,FME,0.1403%
Melrose Industries PLC,MRO,0.1398%
Ferrovial SA,FER,0.1397%
Veolia Environnement SA,VIE,0.137%
Neste Oyj,NESTE,0.1347%
Genmab A/S,GMAB,0.1325%
Teleperformance SE,TEP,0.1319%
Wirecard AG,WDI,0.1316%
Continental AG,CON,0.1299%
Royal Bank of Scotland Group PLC,RBS,0.1296%
Ashtead Group PLC,AHT,0.1288%
Coloplast A/S,COLO.B,0.128%
Swisscom AG,SCMN,0.1276%
3i Group PLC,III,0.1247%
Informa PLC,INF,0.1242%
Aena SME SA,AENA,0.1241%
Peugeot SA,UG,0.1233%
Atlas Copco AB,ATCO.B,0.1223%
Swedbank AB,SWED.A,0.1222%
Deutsche Wohnen SE,DWNI,0.1212%
Symrise AG,SY1,0.1168%
Sonova Holding AG,SOON,0.1143%
Edenred SA,EDEN,0.1135%
Associated British Foods PLC,ABF,0.113%
SEGRO PLC,SGRO,0.1129%
Straumann Holding AG,STMN,0.1126%
InterContinental Hotels Group PLC,IHG,0.1124%
Bouygues SA,EN,0.1103%
NN Group NV,NN,0.1097%
Intertek Group PLC,ITRK,0.1088%
Next PLC,NXT,0.1083%
Burberry Group PLC,BRBY,0.1055%
Beiersdorf AG,BEI,0.1044%
Julius Baer Gruppe AG,BAER,0.1041%
Porsche Automobil Holding SE,PAH3,0.1039%
Caixabank SA,CABK,0.1033%
Hannover Rueck SE,HNR1,0.1031%
Thales SA,HO,0.1023%
Telenor ASA,TEL,0.102%
Eiffage SA,FGR,0.1019%
Persimmon PLC,PSN,0.1018%
Erste Group Bank AG,EBS,0.1015%
Cellnex Telecom SA,CLNX,0.1011%
Mowi ASA,MOWI,0.1008%
Atlantia SpA,ATL,0.0999%
SGS SA,SGSN,0.0997%
Telia Company AB,TELIA,0.0995%
Danske Bank A/S,DANSKE,0.099%
CNH Industrial NV,CNHI,0.0988%
Ageas SA,AGS,0.0988%
Snam SpA,SRG,0.0984%
ArcelorMittal SA,MT,0.0973%
HeidelbergCement AG,HEI,0.0971%
Rentokil Initial PLC,RTO,0.097%
EDP Energias de Portugal SA,EDP,0.097%
Sage Group PLC,SGE,0.0968%
Grifols SA,GRF,0.0959%
ACS Actividades de Construccion y Servicios SA,ACS,0.0952%
